,Rank,Name,Name.1,Nation,Points,384,383,417,371,382,2001,event,gender,athlete_id
0,1,Meyer,Jérôme,FRA,395.00,3. 65.00,1. 100.00,3. 65.00,3. 65.00,1. 100.00,2001,boulder,MEN,441
1,2,Calibani,Mauro,ITA,343.00,1. 100.00,3. 65.00,6. 47.00,5. 51.00,2. 80.00,2001,boulder,MEN,554
2,3,ANDRADA JIMENEZ,Daniel,ESP,336.00,12. 28.00,2. 80.00,1. 100.00,1. 100.00,12. 28.00,2001,boulder,MEN,160
3,4,Oleksy,Tomasz,POL,242.00,22. 9.00,5. 51.00,2. 80.00,6. 47.00,4. 55.00,2001,boulder,MEN,906
4,5,Tuscan,Frédéric,FRA,241.00,10. 34.00,8. 40.00,8. 40.00,2. 80.00,6. 47.00,2001,boulder,MEN,280
5,6,Rakhmetov,Salavat,RUS,232.00,8. 40.00,7. 43.00,4. 55.00,7. 43.00,5. 51.00,2001,boulder,MEN,845
6,7,Core,Christian,ITA,208.00,2. 80.00,4. 55.00,10. 34.00,11. 31.00,23. 8.00,2001,boulder,MEN,122
7,8,Meral,Julien,FRA,133.00,9. 37.00,15. 22.00,11. 31.00,25. 6.00,9. 37.00,2001,boulder,MEN,3062
8,9,Jourjon,Jean Baptiste,FRA,111.00,,19. 14.00,9. 37.00,4. 55.00,26. 5.00,2001,boulder,MEN,3473
9,10,Julien,Stephane,FRA,109.00,,19. 14.00,5. 51.00,14. 24.00,16. 20.00,2001,boulder,MEN,826
10,11,Fischhuber,Kilian,AUT,102.00,,11. 31.00,,9. 37.00,10. 34.00,2001,boulder,MEN,2602
11,12,Dard,Yohann,FRA,89.00,27. 4.00,6. 47.00,12. 28.00,24. 7.00,28. 3.00,2001,boulder,MEN,3472
12,13,Okano,Hiroshi,JPN,88.00,30. 1.00,,15. 22.00,10. 34.00,11. 31.00,2001,boulder,MEN,341
13,14,Golob,Jurij,SLO,83.00,25. 6.00,15. 22.00,14. 24.00,15. 22.00,22. 9.00,2001,boulder,MEN,410
14,15,Scarian,Riccardo,ITA,78.00,15. 22.00,10. 34.00,18. 16.00,,25. 6.00,2001,boulder,MEN,778
15,16,Müller,Matthias,SUI,66.00,17. 18.00,17. 18.00,,13. 26.00,27. 4.00,2001,boulder,MEN,2675
16,17,Sharma,Chris,USA,65.00,,,,,3. 65.00,2001,boulder,MEN,151
17,18,Parry,Gareth,GBR,61.00,14. 24.00,24. 7.00,19. 14.00,,18. 16.00,2001,boulder,MEN,312
18,19,Macias Matutano,Bruno,ESP,59.00,18. 16.00,,,,7. 43.00,2001,boulder,MEN,2487
19,20,Pons Aleman,Juan,ESP,57.00,,,7. 43.00,19. 14.00,,2001,boulder,MEN,5311
20,21,Bychkov,Dmitrii,RUS,55.00,,,25. 6.00,22. 9.00,8. 40.00,2001,boulder,MEN,169
21,21,Smith,Malcolm,GBR,55.00,4. 55.00,,,,,2001,boulder,MEN,628
22,23,DU LAC,Daniel,FRA,51.00,5. 51.00,,,,,2001,boulder,MEN,175
23,24,Pons,Pedro,ESP,50.00,7. 43.00,,,,24. 7.00,2001,boulder,MEN,726
24,25,Lachat,Raphaël,SUI,49.00,11. 31.00,,17. 18.00,,,2001,boulder,MEN,2553
25,26,Chabot,Alexandre,FRA,47.00,6. 47.00,,,,,2001,boulder,MEN,2825
26,26,Repcik,Marek,SVK,47.00,,24. 7.00,,8. 40.00,,2001,boulder,MEN,618
27,28,Carrion,Obel,USA,44.00,,,19. 14.00,12. 28.00,29. 2.00,2001,boulder,MEN,5309
28,28,Gisler,David,SUI,44.00,,12. 28.00,,18. 16.00,,2001,boulder,MEN,182
29,28,Soucek,Radovah,CZE,44.00,25. 6.00,14. 24.00,19. 14.00,,,2001,boulder,MEN,3063
30,28,Stack,John,USA,44.00,,,16. 20.00,,14. 24.00,2001,boulder,MEN,3245
31,32,Kazbekov,Serik,UKR,42.00,,,,16. 20.00,15. 22.00,2001,boulder,MEN,829
32,33,Archambault,Dan,CAN,37.00,,9. 37.00,,,,2001,boulder,MEN,2644
33,34,Zitnik,Primoz,SLO,30.00,,18. 16.00,19. 14.00,,,2001,boulder,MEN,2551
34,35,Borowka,Karsten,GER,26.00,,,13. 26.00,,,2001,boulder,MEN,2057
35,35,Ghidini,Stefano,ITA,26.00,,13. 26.00,,,,2001,boulder,MEN,819
