,Rank,Name,Name.1,Nation,Points,532,588,583,524,523,581,2003,event,gender,athlete_id
0,1,Yurina,Valentina,RUS,380.00,4. 55.00,2. 80.00,3. 65.00,2. 80.00,1. 100.00,7. (43.00),2003,speed,WOMEN,3316
1,2,Stenkovaya,Anna,RUS,363.00,9. (37.00),5. 51.00,1. 100.00,3. 65.00,6. 47.00,1. 100.00,2003,speed,WOMEN,3619
2,3,Ryepko,Olena,UKR,326.00,7. 43.00,1. 100.00,,1. 100.00,12. 28.00,4. 55.00,2003,speed,WOMEN,1105
3,4,Piratinskaya,Mayya,RUS,261.00,1. 100.00,3. 65.00,,10. 34.00,12. 28.00,10. 34.00,2003,speed,WOMEN,1267
4,5,Saulevich,Olesya,RUS,223.00,11. 31.00,6. 47.00,,6. 47.00,5. 51.00,6. 47.00,2003,speed,WOMEN,2712
5,6,Ropek,Edyta,POL,197.00,,4. 55.00,5. 51.00,14. 24.00,7. 43.00,14. 24.00,2003,speed,WOMEN,3547
6,7,Sutkina,Svetlana,RUS,182.00,,,,5. 51.00,2. 80.00,5. 51.00,2003,speed,WOMEN,1366
7,8,Podgorbounskikh,Zosia,RUS,179.00,12. 28.00,,,11. 31.00,8. 40.00,2. 80.00,2003,speed,WOMEN,1404
8,9,Ochtchepkova,Olga,RUS,175.00,,,,4. 55.00,4. 55.00,3. 65.00,2003,speed,WOMEN,3258
9,10,Ruyga,Tatiana,RUS,133.00,,,,9. 37.00,3. 65.00,11. 31.00,2003,speed,WOMEN,1378
10,11,Zakharova,Olga,UKR,131.00,5. 51.00,,2. 80.00,,,,2003,speed,WOMEN,1312
11,12,Ryzhkova,Margarita,RUS,99.00,,,,12. 28.00,10. 34.00,9. 37.00,2003,speed,WOMEN,1270
12,13,Evstigneeva,Olga,RUS,97.00,,,,7. 43.00,12. 28.00,13. 26.00,2003,speed,WOMEN,5144
13,14,Baranova,Natalia,RUS,91.00,,,,13. 26.00,9. 37.00,12. 28.00,2003,speed,WOMEN,3114
14,15,Hendrawati,Agung Ethi,INA,80.00,2. 80.00,,,,,,2003,speed,WOMEN,4950
15,15,Titova,Natalia,RUS,80.00,,,,8. 40.00,,8. 40.00,2003,speed,WOMEN,1304
16,17,Gavrilova,Olga,RUS,75.00,,,,15. 22.00,11. 31.00,15. 22.00,2003,speed,WOMEN,6135
17,18,Yuniar,Yuyun,INA,65.00,3. 65.00,,,,,,2003,speed,WOMEN,4951
18,19,Ostapenko,Olena,UKR,55.00,,,4. 55.00,,,,2003,speed,WOMEN,1015
19,20,Neliwati,Evi,INA,47.00,6. 47.00,,,,,,2003,speed,WOMEN,4954
20,21,Nilsson,Kristina,SWE,44.00,15. 22.00,,,,,15. 22.00,2003,speed,WOMEN,6134
21,22,Zhang,Qing,CHN,40.00,8. 40.00,,,,,,2003,speed,WOMEN,5413
22,23,Cheng,Lai-Sho,HKG,34.00,10. 34.00,,,,,,2003,speed,WOMEN,5979
23,24,Wei,Sheng-Ju,CHN,26.00,13. 26.00,,,,,,2003,speed,WOMEN,5416
24,25,Zhu,Xiujuan,CHN,24.00,14. 24.00,,,,,,2003,speed,WOMEN,5938
25,26,LI,Suet-Man,HKG,20.00,16. 20.00,,,,,,2003,speed,WOMEN,6411
26,27,Choi,Shun-Yuk,HKG,18.00,17. 18.00,,,,,,2003,speed,WOMEN,1337
